id,vps_ip,vps_name,timestamp,status,latency_ms,cpu_percent,ram_percent,disk_percent
29686,194.163.160.139,Quitomotors,1771097047,UP,717.83,100.0,11.17,11.12
29687,62.84.187.169,Kia,1771097047,UP,864.56,100.0,27.71,33.84
29688,109.199.117.80,Armacar,1771097047,UP,880.85,100.0,27.52,15.3
29680,192.168.100.71,AGENTE C1 ,1771097046,DOWN,,,,
29681,192.168.100.33,IA LOCAL,1771097046,UP,170.6,0.03,2.2,18.32
29679,217.76.58.149,9rounds,1771097043,UP,5264.36,100.0,29.39,22.52
29677,109.199.117.80,Armacar,1771097027,UP,874.27,100.0,27.11,15.3
29678,82.25.84.232,Hostinger,1771097027,UP,535.59,75.03,54.4,65.04
29671,147.93.179.212,1001Talleres,1771097026,UP,476.23,100.0,28.46,27.55
29672,154.38.191.168,Hyundai,1771097026,UP,609.66,18.39,28.03,30.24
29673,154.38.191.23,Autocom,1771097026,UP,593.48,100.0,28.74,26.9
29674,194.163.160.139,Quitomotors,1771097026,UP,802.54,100.0,11.21,11.12
29675,62.84.187.169,Kia,1771097026,UP,815.6,100.0,27.77,33.84
29676,192.168.100.33,IA LOCAL,1771097026,UP,176.79,0.03,2.2,18.32
29670,192.168.100.71,AGENTE C1 ,1771097025,UP,73.19,0.11,7.01,11.1
29661,62.84.187.169,Kia,1771097023,DOWN,,,,
29662,154.38.191.168,Hyundai,1771097023,DOWN,,,,
29663,192.168.100.71,AGENTE C1 ,1771097023,DOWN,,,,
29664,154.38.191.23,Autocom,1771097023,DOWN,,,,
29665,194.163.160.139,Quitomotors,1771097023,DOWN,,,,
29666,192.168.100.33,IA LOCAL,1771097023,DOWN,,,,
29667,147.93.179.212,1001Talleres,1771097023,DOWN,,,,
29668,109.199.117.80,Armacar,1771097023,DOWN,,,,
29669,82.25.84.232,Hostinger,1771097023,DOWN,,,,
29660,217.76.58.149,9rounds,1771097019,DOWN,,,,
29659,82.25.84.232,Hostinger,1771097002,UP,558.06,75.03,54.42,65.04
29653,147.93.179.212,1001Talleres,1771097001,UP,544.09,100.0,28.83,27.55
29654,154.38.191.23,Autocom,1771097001,UP,732.7,100.0,28.82,26.9
29655,154.38.191.168,Hyundai,1771097001,UP,721.69,18.39,28.09,30.24
29656,194.163.160.139,Quitomotors,1771097001,UP,790.55,100.0,11.15,11.12
29657,62.84.187.169,Kia,1771097001,UP,874.69,100.0,27.57,33.84
29658,109.199.117.80,Armacar,1771097001,UP,886.23,100.0,27.12,15.3
29651,192.168.100.33,IA LOCAL,1771097000,UP,145.32,0.03,2.2,18.32
29652,192.168.100.71,AGENTE C1 ,1771097000,UP,66.41,0.11,7.01,11.1
29650,217.76.58.149,9rounds,1771096991,UP,2648.21,100.0,29.8,22.52
29647,109.199.117.80,Armacar,1771096989,UP,864.39,100.0,27.23,15.3
29648,62.84.187.169,Kia,1771096989,UP,924.74,100.0,27.68,33.84
29649,82.25.84.232,Hostinger,1771096989,UP,537.85,75.03,54.25,65.04
29641,192.168.100.71,AGENTE C1 ,1771096988,UP,50.14,0.11,6.99,11.1
29642,192.168.100.33,IA LOCAL,1771096988,UP,126.71,0.03,2.2,18.32
29643,147.93.179.212,1001Talleres,1771096988,UP,486.73,100.0,28.55,27.55
29644,154.38.191.168,Hyundai,1771096988,UP,679.06,18.39,28.04,30.24
29645,154.38.191.23,Autocom,1771096988,UP,798.34,100.0,28.96,26.9
29646,194.163.160.139,Quitomotors,1771096988,UP,788.1,100.0,11.2,11.12
29639,192.168.100.71,AGENTE C1 ,1771096987,DOWN,,,,
29640,192.168.100.33,IA LOCAL,1771096987,DOWN,,,,
29638,217.76.58.149,9rounds,1771096984,DOWN,,,,
29637,82.25.84.232,Hostinger,1771096968,UP,541.95,75.03,54.35,65.04
29631,147.93.179.212,1001Talleres,1771096967,UP,470.08,100.0,28.6,27.55
29632,154.38.191.168,Hyundai,1771096967,UP,600.06,18.39,28.27,30.24
29633,154.38.191.23,Autocom,1771096967,UP,926.0,100.0,29.04,26.9
29634,194.163.160.139,Quitomotors,1771096967,UP,770.27,100.0,11.23,11.12
29635,109.199.117.80,Armacar,1771096967,UP,852.11,100.0,26.98,15.3
29636,62.84.187.169,Kia,1771096967,UP,831.11,100.0,27.58,33.84
29629,192.168.100.33,IA LOCAL,1771096966,UP,152.56,0.03,2.2,18.32
